Fecha,Ventas,Promocion,Mes,Mes_sin,Mes_cos
2023-01-31,3032.0,1,1,0.49999999999999994,0.8660254037844387
2023-02-28,2898.8983855785123,1,2,0.8660254037844386,0.5000000000000001
2023-03-31,3154.7919750177166,0,3,1.0,6.123233995736766e-17
2023-04-30,3072.417982139062,1,4,0.8660254037844387,-0.4999999999999998
2023-05-31,3615.9426092011877,0,5,0.49999999999999994,-0.8660254037844387
2023-06-30,3327.5420438411616,0,6,1.2246467991473532e-16,-1.0
2023-07-31,3460.8343845952695,0,7,-0.4999999999999997,-0.8660254037844388
2023-08-31,3557.13046105941,0,8,-0.8660254037844385,-0.5000000000000004
2023-09-30,3603.484946505221,0,9,-1.0,-1.8369701987210297e-16
2023-10-31,3301.5439721630264,0,10,-0.8660254037844386,0.5000000000000001
2023-11-30,3059.200544923121,0,11,-0.5000000000000004,0.8660254037844384
2023-12-31,2858.0833245481235,0,12,-2.4492935982947064e-16,1.0
2024-01-31,2769.916675451877,0,1,0.49999999999999994,0.8660254037844387
2024-02-29,2452.7994550768794,0,2,0.8660254037844386,0.5000000000000001
2024-03-31,3154.4560278369736,1,3,1.0,6.123233995736766e-17
2024-04-30,2111.515053494779,0,4,0.8660254037844387,-0.4999999999999998
2024-05-31,2251.86953894059,1,5,0.49999999999999994,-0.8660254037844387
2024-06-30,2095.1656154047305,1,6,1.2246467991473532e-16,-1.0
2024-07-31,2668.4579561588384,1,7,-0.4999999999999997,-0.8660254037844388
2024-08-31,2868.0573907988123,0,8,-0.8660254037844385,-0.5000000000000004
2024-09-30,2573.582017860938,1,9,-1.0,-1.8369701987210297e-16
2024-10-31,2334.2080249822834,0,10,-0.8660254037844386,0.5000000000000001
2024-11-30,2401.1016144214877,1,11,-0.5000000000000004,0.8660254037844384
2024-12-31,2888.0,1,12,-2.4492935982947064e-16,1.0
